sequenceID,fold
273_chr11,2
273_chr17,3
273_chr2,4
273_chr3,5
273_chr4,6
274_chr1,1
274_chr11,2
274_chr17,3
274_chr2,4
274_chr3,5
274_chr4,6
275_chr1,1
275_chr11,2
275_chr17,3
275_chr2,4
275_chr3,5
275_chr4,6
276_chr1,1
276_chr11,2
276_chr17,3
276_chr2,4
276_chr3,5
276_chr4,6
277_chr1,1
277_chr11,2
277_chr17,3
277_chr2,4
277_chr3,5
277_chr4,6
278_chr1,1
278_chr11,2
278_chr17,3
278_chr2,4
278_chr3,5
278_chr4,6
279_chr1,1
279_chr11,2
279_chr17,3
279_chr2,4
279_chr3,5
279_chr4,6
27_chr1,1
27_chr11,2
27_chr17,3
27_chr2,4
27_chr3,5
27_chr4,6
281_chr1,1
281_chr11,2
281_chr2,4
281_chr3,5
281_chr4,6
282_chr1,1
282_chr11,2
282_chr17,3
282_chr2,4
282_chr3,5
282_chr4,6
283_chr1,1
283_chr11,2
283_chr17,3
283_chr2,4
283_chr3,5
283_chr4,6
284_chr1,1
284_chr11,2
284_chr17,3
284_chr2,4
284_chr3,5
284_chr4,6
285_chr1,1
285_chr11,2
285_chr17,3
285_chr2,4
285_chr3,5
285_chr4,6
286_chr1,1
286_chr11,2
286_chr17,3
286_chr2,4
286_chr3,5
286_chr4,6
287_chr1,1
287_chr11,2
287_chr2,4
287_chr3,5
288_chr1,1
288_chr11,2
288_chr17,3
288_chr2,4
288_chr3,5
288_chr4,6
289_chr1,1
289_chr11,2
289_chr17,3
289_chr2,4
289_chr3,5
289_chr4,6
28_chr1,1
28_chr11,2
28_chr17,3
28_chr2,4
28_chr3,5
28_chr4,6
290_chr1,1
290_chr11,2
290_chr2,4
290_chr3,5
290_chr4,6
291_chr1,1
291_chr11,2
291_chr17,3
291_chr2,4
291_chr3,5
291_chr4,6
294_chr1,1
294_chr11,2
294_chr17,3
294_chr2,4
294_chr3,5
294_chr4,6
295_chr1,1
295_chr11,2
295_chr17,3
295_chr2,4
295_chr3,5
295_chr4,6
296_chr1,1
296_chr11,2
296_chr17,3
296_chr2,4
296_chr3,5
296_chr4,6
297_chr1,1
297_chr11,2
297_chr17,3
297_chr2,4
297_chr3,5
297_chr4,6
298_chr1,1
298_chr11,2
298_chr17,3
298_chr2,4
298_chr3,5
298_chr4,6
299_chr1,1
299_chr11,2
299_chr17,3
299_chr2,4
299_chr3,5
299_chr4,6
29_chr1,1
29_chr11,2
29_chr17,3
29_chr2,4
29_chr3,5
29_chr4,6
2_chr1,1
2_chr11,2
2_chr17,3
2_chr2,4
2_chr3,5
2_chr4,6
300_chr1,1
300_chr11,2
300_chr17,3
300_chr2,4
300_chr3,5
300_chr4,6
301_chr1,1
301_chr11,2
301_chr17,3
301_chr2,4
301_chr3,5
301_chr4,6
302_chr1,1
302_chr11,2
302_chr17,3
302_chr2,4
302_chr3,5
304_chr1,1
304_chr11,2
304_chr17,3
304_chr2,4
304_chr3,5
304_chr4,6
305_chr1,1
305_chr11,2
305_chr17,3
305_chr2,4
305_chr3,5
305_chr4,6
306_chr1,1
306_chr11,2
306_chr2,4
306_chr3,5
306_chr4,6
307_chr1,1
307_chr11,2
307_chr17,3
307_chr2,4
307_chr3,5
307_chr4,6
308_chr1,1
308_chr11,2
308_chr17,3
308_chr2,4
308_chr3,5
308_chr4,6
309_chr1,1
309_chr11,2
309_chr17,3
309_chr2,4
309_chr3,5
309_chr4,6
30_chr1,1
30_chr11,2
30_chr17,3
30_chr2,4
30_chr3,5
30_chr4,6
310_chr1,1
310_chr11,2
310_chr17,3
310_chr2,4
310_chr3,5
310_chr4,6
311_chr1,1
311_chr11,2
311_chr17,3
311_chr2,4
311_chr3,5
311_chr4,6
312_chr11,2
312_chr17,3
312_chr2,4
312_chr3,5
312_chr4,6
313_chr1,1
313_chr11,2
313_chr17,3
313_chr2,4
313_chr3,5
313_chr4,6
314_chr1,1
314_chr11,2
314_chr17,3
314_chr2,4
314_chr3,5
314_chr4,6
315_chr1,1
315_chr11,2
315_chr17,3
315_chr2,4
315_chr3,5
315_chr4,6
316_chr1,1
316_chr11,2
316_chr17,3
316_chr2,4
316_chr3,5
316_chr4,6
317_chr1,1
317_chr11,2
317_chr17,3
317_chr2,4
317_chr3,5
317_chr4,6
318_chr1,1
318_chr11,2
318_chr17,3
318_chr2,4
318_chr3,5
318_chr4,6
319_chr1,1
319_chr11,2
319_chr17,3
319_chr2,4
319_chr3,5
319_chr4,6
31_chr1,1
31_chr11,2
31_chr17,3
31_chr2,4
31_chr3,5
31_chr4,6
320_chr1,1
320_chr11,2
320_chr17,3
320_chr2,4
320_chr3,5
320_chr4,6
321_chr1,1
321_chr11,2
321_chr17,3
321_chr2,4
321_chr3,5
321_chr4,6
322_chr1,1
322_chr11,2
322_chr17,3
322_chr2,4
322_chr3,5
322_chr4,6
323_chr1,1
323_chr11,2
323_chr17,3
323_chr2,4
323_chr3,5
323_chr4,6
324_chr1,1
324_chr11,2
324_chr17,3
324_chr2,4
324_chr3,5
324_chr4,6
325_chr1,1
325_chr11,2
325_chr17,3
325_chr2,4
325_chr3,5
325_chr4,6
326_chr1,1
326_chr11,2
326_chr17,3
326_chr2,4
326_chr3,5
326_chr4,6
327_chr1,1
327_chr11,2
327_chr17,3
327_chr2,4
327_chr3,5
327_chr4,6
328_chr1,1
328_chr11,2
328_chr17,3
328_chr2,4
328_chr3,5
328_chr4,6
329_chr1,1
329_chr11,2
329_chr17,3
329_chr2,4
329_chr3,5
329_chr4,6
32_chr1,1
32_chr11,2
32_chr17,3
32_chr2,4
32_chr3,5
32_chr4,6
330_chr1,1
330_chr11,2
330_chr17,3
330_chr2,4
330_chr3,5
330_chr4,6
331_chr1,1
331_chr11,2
331_chr17,3
331_chr2,4
331_chr3,5
331_chr4,6
332_chr1,1
332_chr11,2
332_chr17,3
332_chr2,4
332_chr3,5
332_chr4,6
333_chr1,1
333_chr11,2
333_chr17,3
333_chr2,4
333_chr3,5
333_chr4,6
334_chr1,1
334_chr11,2
334_chr17,3
334_chr2,4
334_chr3,5
334_chr4,6
335_chr1,1
335_chr11,2
335_chr17,3
335_chr2,4
335_chr3,5
335_chr4,6
336_chr1,1
336_chr11,2
336_chr17,3
336_chr2,4
336_chr3,5
336_chr4,6
337_chr1,1
337_chr11,2
337_chr17,3
337_chr2,4
337_chr3,5
337_chr4,6
338_chr1,1
338_chr11,2
338_chr17,3
338_chr2,4
338_chr3,5
338_chr4,6
339_chr1,1
339_chr11,2
339_chr17,3
339_chr2,4
339_chr3,5
339_chr4,6
33_chr1,1
33_chr11,2
33_chr17,3
33_chr2,4
33_chr3,5
33_chr4,6
340_chr1,1
340_chr11,2
340_chr17,3
340_chr2,4
340_chr3,5
340_chr4,6
341_chr1,1
341_chr11,2
341_chr17,3
341_chr2,4
341_chr3,5
341_chr4,6
342_chr1,1
342_chr11,2
342_chr17,3
342_chr2,4
342_chr3,5
342_chr4,6
343_chr1,1
343_chr11,2
343_chr17,3
343_chr2,4
343_chr3,5
343_chr4,6
344_chr1,1
344_chr11,2
344_chr17,3
344_chr2,4
344_chr3,5
344_chr4,6
345_chr1,1
345_chr11,2
345_chr17,3
345_chr2,4
345_chr3,5
345_chr4,6
346_chr1,1
346_chr11,2
346_chr17,3
346_chr2,4
346_chr3,5
346_chr4,6
347_chr1,1
347_chr11,2
347_chr17,3
347_chr2,4
347_chr3,5
347_chr4,6
348_chr1,1
348_chr11,2
348_chr17,3
348_chr2,4
348_chr3,5
348_chr4,6
349_chr1,1
349_chr11,2
349_chr17,3
349_chr2,4
349_chr3,5
349_chr4,6
34_chr1,1
34_chr11,2
34_chr17,3
34_chr2,4
34_chr3,5
34_chr4,6
350_chr1,1
350_chr11,2
350_chr17,3
350_chr2,4
350_chr3,5
350_chr4,6
351_chr1,1
351_chr11,2
351_chr17,3
351_chr2,4
351_chr3,5
351_chr4,6
352_chr1,1
352_chr11,2
352_chr17,3
352_chr2,4
352_chr3,5
352_chr4,6
353_chr1,1
353_chr11,2
353_chr17,3
353_chr2,4
353_chr3,5
353_chr4,6
354_chr1,1
354_chr11,2
354_chr17,3
354_chr2,4
354_chr3,5
354_chr4,6
355_chr1,1
355_chr11,2
355_chr17,3
355_chr2,4
355_chr3,5
355_chr4,6
356_chr1,1
356_chr11,2
356_chr17,3
356_chr2,4
356_chr3,5
356_chr4,6
357_chr1,1
357_chr11,2
357_chr17,3
357_chr2,4
357_chr3,5
357_chr4,6
358_chr1,1
358_chr11,2
358_chr17,3
358_chr2,4
358_chr3,5
358_chr4,6
359_chr1,1
359_chr11,2
359_chr17,3
359_chr2,4
359_chr3,5
359_chr4,6
35_chr1,1
35_chr11,2
35_chr17,3
35_chr2,4
35_chr3,5
35_chr4,6
360_chr1,1
360_chr11,2
360_chr17,3
360_chr2,4
360_chr3,5
360_chr4,6
361_chr1,1
361_chr11,2
361_chr17,3
361_chr2,4
361_chr3,5
361_chr4,6
362_chr1,1
362_chr11,2
362_chr17,3
362_chr2,4
362_chr3,5
362_chr4,6
363_chr1,1
363_chr11,2
363_chr17,3
363_chr2,4
363_chr3,5
363_chr4,6
364_chr1,1
364_chr11,2
364_chr17,3
364_chr2,4
364_chr3,5
364_chr4,6
365_chr1,1
365_chr11,2
365_chr17,3
365_chr2,4
365_chr3,5
365_chr4,6
366_chr1,1
366_chr11,2
366_chr17,3
366_chr2,4
366_chr3,5
366_chr4,6
367_chr1,1
367_chr11,2
367_chr17,3
367_chr2,4
367_chr3,5
367_chr4,6
368_chr11,2
368_chr17,3
368_chr2,4
369_chr1,1
369_chr11,2
369_chr17,3
369_chr2,4
369_chr3,5
369_chr4,6
36_chr1,1
36_chr11,2
36_chr17,3
36_chr2,4
36_chr3,5
36_chr4,6
371_chr1,1
371_chr11,2
371_chr17,3
371_chr2,4
371_chr3,5
371_chr4,6
373_chr1,1
373_chr11,2
373_chr17,3
373_chr2,4
373_chr3,5
373_chr4,6
375_chr1,1
375_chr17,3
375_chr2,4
375_chr3,5
375_chr4,6
376_chr1,1
376_chr11,2
