sequenceID,n.segments,possible.fp,fp,possible.fn,fn,labels,errors,min.log.lambda,max.log.lambda,loss
1_chr3,17,1,1,0,0,1,1,-2.67778641490749,-2.64167766855281,2.24608352472995
1_chr3,18,1,1,0,0,1,1,-2.77571434897052,-2.67778641490749,2.17736843209741
1_chr3,19,1,1,0,0,1,1,-2.78483322973026,-2.77571434897052,2.11506347878771
1_chr3,20,1,1,0,0,1,1,-Inf,-2.78483322973026,2.05332409432146
1_chr4,1,1,0,0,0,1,0,-0.995123241844028,Inf,2.60686286502364
1_chr4,2,1,1,0,0,1,1,-2.11586023879768,-0.995123241844028,2.237184983071
1_chr4,3,1,1,0,0,1,1,-2.14383517086678,-2.11586023879768,2.11665542233164
1_chr4,4,1,1,0,0,1,1,-2.2582391722855,-2.14383517086678,1.99945094157602
1_chr4,5,1,1,0,0,1,1,-2.38951735926877,-2.2582391722855,1.8949165517306
1_chr4,6,1,1,0,0,1,1,-2.70278672620833,-2.38951735926877,1.80324263296154
1_chr4,8,1,1,0,0,1,1,-2.72361440511359,-2.70278672620833,1.66920565278644
1_chr4,10,1,1,0,0,1,1,-2.79970428233986,-2.72361440511359,1.53793148048524
1_chr4,12,1,1,0,0,1,1,-3.06803965732012,-2.79970428233986,1.41627538469764
1_chr4,13,1,1,0,0,1,1,-3.14656300610566,-3.06803965732012,1.36976313921384
1_chr4,15,1,1,0,0,1,1,-3.18841420094466,-3.14656300610566,1.28376381369346
1_chr4,16,1,1,0,0,1,1,-3.2530007105771,-3.18841420094466,1.24252660064432
1_chr4,17,1,1,0,0,1,1,-3.25539407481268,-3.2530007105771,1.20386856859603
1_chr4,18,1,1,0,0,1,1,-3.26394984781452,-3.25539407481268,1.16530294866703
1_chr4,20,1,1,0,0,1,1,-Inf,-3.26394984781452,1.08882881117087
1_chr11,1,0,0,1,1,1,1,2.06739808397873,Inf,10.6704747096556
1_chr11,2,0,0,1,0,1,0,-1.172319750687,2.06739808397873,2.76624451389747
1_chr11,3,0,0,1,0,1,0,-1.47704824301095,-1.172319750687,2.45659671212255
1_chr11,4,0,0,1,0,1,0,-1.95742073591083,-1.47704824301095,2.22828609993591
1_chr11,6,0,0,1,0,1,0,-2.08075007234103,-1.95742073591083,1.94584169807897
1_chr11,8,0,0,1,0,1,0,-2.17230119628765,-2.08075007234103,1.69616861680604
1_chr11,9,0,0,1,0,1,0,-2.46409795755176,-2.17230119628765,1.5822534429211
1_chr11,11,0,0,1,0,1,0,-2.69055059829565,-2.46409795755176,1.41208232581826
1_chr11,12,0,0,1,0,1,0,-2.99112347176249,-2.69055059829565,1.34423875128857
1_chr11,14,0,0,1,0,1,0,-3.01381341910481,-2.99112347176249,1.24377680742324
1_chr11,15,0,0,1,0,1,0,-3.04122282932398,-3.01381341910481,1.19467274054355
1_chr11,16,0,0,1,0,1,0,-3.06734098577108,-3.04122282932398,1.14689630920548
1_chr11,17,0,0,1,0,1,0,-3.1028801092675,-3.06734098577108,1.10035155558415
1_chr11,19,0,0,1,0,1,0,-3.13473299012642,-3.1028801092675,1.01051227072168
1_chr11,20,0,0,1,0,1,0,-Inf,-3.13473299012642,0.967000900477828
1_chr17,1,1,0,0,0,1,0,-1.81065319423307,Inf,2.54644630669752
1_chr17,3,1,1,0,0,1,1,-1.83495178573756,-1.81065319423307,2.21935175915895
1_chr17,5,1,1,0,0,1,1,-2.08784878052659,-1.83495178573756,1.90010936395714
1_chr17,6,1,1,0,0,1,1,-2.15717471220073,-2.08784878052659,1.77615586356289
1_chr17,7,1,1,0,0,1,1,-2.33053783237638,-2.15717471220073,1.6605044551566
1_chr17,8,1,1,0,0,1,1,-2.33234850193731,-2.33053783237638,1.56326102280039
1_chr17,9,1,1,0,0,1,1,-2.51181015197678,-2.33234850193731,1.46619350685585
1_chr17,11,1,1,0,0,1,1,-2.73026599572095,-2.51181015197678,1.3039509779749
1_chr17,13,1,1,0,0,1,1,-3.00003261325348,-2.73026599572095,1.17354709012849
1_chr17,15,1,1,0,0,1,1,-3.21168247127049,-3.00003261325348,1.07397620077637
1_chr17,17,1,1,0,0,1,1,-3.256894017281,-3.21168247127049,0.993398657743307
1_chr17,19,1,1,0,0,1,1,-3.35038612980672,-3.256894017281,0.916383023584964
1_chr17,20,1,1,0,0,1,1,-Inf,-3.35038612980672,0.881312213983851
2_chr1,1,0,0,1,1,1,1,4.26139835647981,Inf,78.739277192457
2_chr1,2,0,0,1,0,1,0,-0.843138702366105,4.26139835647981,7.83020687574998
2_chr1,3,0,0,1,0,1,0,-1.19588296428819,-0.843138702366105,7.39984923889745
2_chr1,4,0,0,1,0,1,0,-1.29051922780386,-1.19588296428819,7.09741244353354
2_chr1,5,0,0,1,0,1,0,-1.34941757221025,-1.29051922780386,6.82228455158822
2_chr1,7,0,0,1,0,1,0,-1.56622424616144,-1.34941757221025,6.30350196487528
2_chr1,8,0,0,1,0,1,0,-1.73588089216752,-1.56622424616144,6.09466977027513
2_chr1,10,0,0,1,0,1,0,-1.86176340384424,-1.73588089216752,5.74218001197075
2_chr1,12,0,0,1,0,1,0,-2.19527131726083,-1.86176340384424,5.4313832948703
2_chr1,14,0,0,1,0,1,0,-2.25690869867022,-2.19527131726083,5.20872659066353
2_chr1,15,0,0,1,0,1,0,-2.26365580882474,-2.25690869867022,5.10405302800819
2_chr1,17,0,0,1,0,1,0,-2.35095286415178,-2.26365580882474,4.8961136364049
2_chr1,18,0,0,1,0,1,0,-2.40738520542121,-2.35095286415178,4.80083530476374
2_chr1,20,0,0,1,0,1,0,-Inf,-2.40738520542121,4.62073440391228
2_chr2,1,0,0,1,1,1,1,3.97482577213786,Inf,116.978899230738
2_chr2,3,0,0,1,0,1,0,2.12231531836194,3.97482577213786,10.4972191109891
2_chr2,4,0,0,1,0,1,0,-1.16207542042347,2.12231531836194,2.14677004009572
2_chr2,5,0,0,1,0,1,0,-1.9707696702839,-1.16207542042347,1.83393380015175
2_chr2,6,0,0,1,0,1,0,-2.64287799456609,-1.9707696702839,1.69458423843882
2_chr2,7,0,0,1,0,1,0,-2.87899562822468,-2.64287799456609,1.62342805097432
2_chr2,9,0,0,1,0,1,0,-3.16662681092108,-2.87899562822468,1.51104570831763
2_chr2,10,0,0,1,0,1,0,-3.17358961725159,-3.16662681092108,1.46890018510057
2_chr2,11,0,0,1,0,1,0,-3.24389665710408,-3.17358961725159,1.42704709374473
2_chr2,13,0,0,1,0,1,0,-3.4170041518113,-3.24389665710408,1.34902392619643
2_chr2,14,0,0,1,0,1,0,-3.57386629063261,-3.4170041518113,1.31621334282295
2_chr2,16,0,0,1,0,1,0,-3.58227832464429,-3.57386629063261,1.26011893255149
2_chr2,17,0,0,1,0,1,0,-3.61354692976505,-3.58227832464429,1.23230667189339
2_chr2,18,0,0,1,0,1,0,-3.62296974704087,-3.61354692976505,1.20535060606317
2_chr2,20,0,0,1,0,1,0,-Inf,-3.62296974704087,1.151944092653
2_chr3,1,1,0,0,0,1,0,-2.19016308286862,Inf,1.26339937830204
2_chr3,3,1,1,0,0,1,1,-3.04600137494931,-2.19016308286862,1.03960238149983
2_chr3,5,1,1,0,0,1,1,-3.09034589177298,-3.04600137494931,0.944505033322417
2_chr3,6,1,1,0,0,1,1,-3.19343211204562,-3.09034589177298,0.89901881494784
2_chr3,7,1,1,0,0,1,1,-3.46307858894932,-3.19343211204562,0.857988008270316
2_chr3,9,1,1,0,0,1,1,-3.71945114363378,-3.46307858894932,0.795321705292923
2_chr3,14,1,1,0,0,1,1,-3.91043457791413,-3.71945114363378,0.674085342972672
2_chr3,16,1,1,0,0,1,1,-3.92779647519019,-3.91043457791413,0.634021755383343
2_chr3,18,1,1,0,0,1,1,-3.97097613306021,-3.92779647519019,0.594647744187187
2_chr3,19,1,1,0,0,1,1,-4.17557169704395,-3.97097613306021,0.575792725045362
2_chr3,20,1,1,0,0,1,1,-Inf,-4.17557169704395,0.560426320829844
2_chr4,1,1,0,0,0,1,0,-1.53296204784958,Inf,1.20030262367254
2_chr4,2,1,1,0,0,1,1,-2.62191110534716,-1.53296204784958,0.984407396389001
2_chr4,4,1,1,0,0,1,1,-3.28560211907721,-2.62191110534716,0.839079672884695
2_chr4,6,1,1,0,0,1,1,-3.29051325640889,-3.28560211907721,0.764243576507711
2_chr4,8,1,1,0,0,1,1,-3.67810110471872,-3.29051325640889,0.689774109457014
2_chr4,9,1,1,0,0,1,1,-3.89782095754828,-3.67810110471872,0.664503193330552
2_chr4,11,1,1,0,0,1,1,-3.94092565016046,-3.89782095754828,0.623931058287234
2_chr4,14,1,1,0,0,1,1,-4.04586420971091,-3.94092565016046,0.565640395792419
2_chr4,16,1,1,0,0,1,1,-4.07890476815433,-4.04586420971091,0.530651237520924
2_chr4,20,1,1,0,0,1,1,-Inf,-4.07890476815433,0.462947263953922
2_chr11,1,1,0,0,0,1,0,-1.91696247563415,Inf,1.05895692505108
2_chr11,2,1,0,0,0,1,0,-2.87089071893352,-1.91696247563415,0.911903963677189
2_chr11,5,1,1,0,0,1,1,-3.56201873479405,-2.87089071893352,0.741958624904213
2_chr11,6,1,1,0,0,1,1,-3.62181982809348,-3.56201873479405,0.713577152725724
2_chr11,7,1,1,0,0,1,1,-3.62864610312274,-3.62181982809348,0.686843171777986
2_chr11,9,1,1,0,0,1,1,-3.71226193347642,-3.62864610312274,0.633738953974578
2_chr11,10,1,1,0,0,1,1,-3.77055744617185,-3.71226193347642,0.609316734661716
2_chr11,11,1,1,0,0,1,1,-3.82812688687176,-3.77055744617185,0.586277518077917
2_chr11,13,1,1,0,0,1,1,-4.0346825559803,-3.82812688687176,0.542776881469217
2_chr11,16,1,1,0,0,1,1,-4.04388543305376,-4.0346825559803,0.489702995815939
2_chr11,18,1,1,0,0,1,1,-4.30158663322632,-4.04388543305376,0.454644533268575
2_chr11,20,1,1,0,0,1,1,-Inf,-4.30158663322632,0.427550437757797
2_chr17,1,0,0,1,1,1,1,2.71701028398385,Inf,19.0438990187186
2_chr17,2,0,0,1,0,1,0,0.0364938247177077,2.71701028398385,3.90889384996139
2_chr17,3,0,0,1,0,1,0,-0.983941741772443,0.0364938247177077,2.87172595076798
2_chr17,5,0,0,1,0,1,0,-1.70712123240648,-0.983941741772443,2.12405668825979
2_chr17,7,0,0,1,0,1,0,-1.72238858505516,-1.70712123240648,1.76128226153147
2_chr17,8,0,0,1,0,1,0,-1.96979350671902,-1.72238858505516,1.58264331793473
2_chr17,9,0,0,1,0,1,0,-2.02079172772931,-1.96979350671902,1.4431576618425
2_chr17,11,0,0,1,0,1,0,-2.4825405544538,-2.02079172772931,1.17805670257169
2_chr17,13,0,0,1,0,1,0,-2.51301798743954,-2.4825405544538,1.01099521978056
2_chr17,14,0,0,1,0,1,0,-3.17305898729031,-2.51301798743954,0.929971877331331
2_chr17,16,0,0,1,0,1,0,-3.19318024416768,-3.17305898729031,0.846221265824571
2_chr17,18,0,0,1,0,1,0,-3.22964804980924,-3.19318024416768,0.764138981182
2_chr17,20,0,0,1,0,1,0,-Inf,-3.22964804980924,0.684996134166194
4_chr1,1,0,0,1,1,1,1,3.26518538624204,Inf,32.9484918651753
4_chr1,2,0,0,1,0,1,0,-0.940767842862549,3.26518538624204,6.76352699205201
4_chr1,3,0,0,1,0,1,0,-1.86113529361297,-0.940767842862549,6.37319898236455
4_chr1,5,0,0,1,0,1,0,-1.99126895234366,-1.86113529361297,6.06220698934526
4_chr1,7,0,0,1,0,1,0,-2.19835057633356,-1.99126895234366,5.78916283839581
4_chr1,8,0,0,1,0,1,0,-2.20565660030797,-2.19835057633356,5.67817676787341
4_chr1,10,0,0,1,0,1,0,-2.27500752364737,-2.20565660030797,5.45782045080093
4_chr1,11,0,0,1,0,1,0,-2.39142128632637,-2.27500752364737,5.35502431577043
4_chr1,12,0,0,1,0,1,0,-2.43681238181543,-2.39142128632637,5.26352477140504
4_chr1,15,0,0,1,0,1,0,-2.44865633172894,-2.43681238181543,5.00120738061083
4_chr1,19,0,0,1,0,1,0,-2.48643410500718,-2.44865633172894,4.65556892306049
4_chr1,20,0,0,1,0,1,0,-Inf,-2.48643410500718,4.57236278049825
4_chr2,1,0,0,1,1,1,1,1.92930047961761,Inf,16.5240563029823
4_chr2,2,0,0,1,0,1,0,1.3880727789899,1.92930047961761,9.63936372901489
4_chr2,3,0,0,1,1,1,1,1.13643272732406,1.3880727789899,5.63224372824313
4_chr2,4,0,0,1,0,1,0,-1.36503598853576,1.13643272732406,2.51660952730291
4_chr2,5,0,0,1,0,1,0,-2.26861906020817,-1.36503598853576,2.26123804192604
4_chr2,7,0,0,1,0,1,0,-2.7075011720208,-2.26861906020817,2.05432814885242
4_chr2,8,0,0,1,0,1,0,-2.83163579249532,-2.7075011720208,1.98762487019739
4_chr2,9,0,0,1,0,1,0,-2.84214141600921,-2.83163579249532,1.92870847040034
4_chr2,11,0,0,1,0,1,0,-2.86800744537138,-2.84214141600921,1.81210709805498
4_chr2,13,0,0,1,0,1,0,-2.88156862605771,-2.86800744537138,1.69848306821824
4_chr2,14,0,0,1,0,1,0,-3.00091833435432,-2.88156862605771,1.64243629080967
4_chr2,15,0,0,1,0,1,0,-3.25818648236058,-3.00091833435432,1.59269492262985
4_chr2,16,0,0,1,0,1,0,-3.3011543032533,-3.25818648236058,1.5542368434104
4_chr2,19,0,0,1,0,1,0,-3.5666344010602,-3.3011543032533,1.44371499059982
4_chr2,20,0,0,1,0,1,0,-Inf,-3.5666344010602,1.41546421596489
4_chr3,1,0,0,1,1,1,1,2.27284346410842,Inf,12.1503917528727
4_chr3,2,0,0,1,0,1,0,-2.02996478441471,2.27284346410842,2.4434287425068
4_chr3,3,0,0,1,0,1,0,-2.44350391064389,-2.02996478441471,2.31208859621962
4_chr3,6,0,0,1,0,1,0,-2.45142745600643,-2.44350391064389,2.05152065005069
4_chr3,7,0,0,1,0,1,0,-2.52551293935827,-2.45142745600643,1.96535015597428
4_chr3,9,0,0,1,0,1,0,-2.60304870082348,-2.52551293935827,1.80531563945972
4_chr3,11,0,0,1,0,1,0,-2.70130248564483,-2.60304870082348,1.65722066922873
4_chr3,13,0,0,1,0,1,0,-2.76394011750841,-2.70130248564483,1.52298459821785
4_chr3,15,0,0,1,0,1,0,-2.78812513377508,-2.76394011750841,1.39689883422238
4_chr3,17,0,0,1,0,1,0,-3.04474014633753,-2.78812513377508,1.27382587723532
4_chr3,18,0,0,1,0,1,0,-3.06840998840934,-3.04474014633753,1.22621719556472
4_chr3,19,0,0,1,0,1,0,-3.20384107775523,-3.06840998840934,1.17972217182238
4_chr3,20,0,0,1,0,1,0,-Inf,-3.20384107775523,1.13911623832331
4_chr4,1,0,0,1,1,1,1,1.38565083489553,Inf,6.00605212624037
4_chr4,2,0,0,1,0,1,0,-1.9332609659525,1.38565083489553,2.00862540306346
4_chr4,4,0,0,1,0,1,0,-2.02579240999854,-1.9332609659525,1.71927411094797
4_chr4,5,0,0,1,0,1,0,-2.24169745550433,-2.02579240999854,1.58738481957181
4_chr4,7,0,0,1,0,1,0,-2.37449893472009,-2.24169745550433,1.37482892139051
4_chr4,8,0,0,1,0,1,0,-3.08994691909753,-2.37449893472009,1.28176781417042
4_chr4,9,0,0,1,0,1,0,-3.09541143927406,-3.08994691909753,1.23626344441689
4_chr4,10,0,0,1,0,1,0,-3.15171736332883,-3.09541143927406,1.19100705604329
4_chr4,14,0,0,1,0,1,0,-3.18946162953408,-3.15171736332883,1.01989266663403
4_chr4,16,0,0,1,0,1,0,-3.38583525475782,-3.18946162953408,0.937504581381707
4_chr4,17,0,0,1,0,1,0,-3.57710132289624,-3.38583525475782,0.903655223683898
4_chr4,20,0,0,1,0,1,0,-Inf,-3.57710132289624,0.819785369302414
4_chr11,1,0,0,1,1,1,1,0.492585941448176,Inf,4.26640683043298
4_chr11,2,0,0,1,0,1,0,0.140656398359933,0.492585941448176,2.62986407387507
4_chr11,3,0,0,1,0,1,0,-1.98900238619049,0.140656398359933,1.47883498932577
4_chr11,6,0,0,1,0,1,0,-2.51215841123797,-1.98900238619049,1.0683394011232
4_chr11,8,0,0,1,0,1,0,-2.79252239456332,-2.51215841123797,0.906153364867879
4_chr11,9,0,0,1,0,1,0,-3.04000614090596,-2.79252239456332,0.844886884257666
4_chr11,10,0,0,1,0,1,0,-3.25569676243127,-3.04000614090596,0.797052288512124
4_chr11,12,0,0,1,0,1,0,-3.47178514978482,-3.25569676243127,0.719944391792401
4_chr11,13,0,0,1,0,1,0,-3.54018935849421,-3.47178514978482,0.688882860140169
4_chr11,15,0,0,1,0,1,0,-3.59898813283078,-3.54018935849421,0.630867192775377
4_chr11,17,0,0,1,0,1,0,-3.68588728558729,-3.59898813283078,0.576164423939902
4_chr11,19,0,0,1,0,1,0,-3.76276028667884,-3.68588728558729,0.526014591463347
4_chr11,20,0,0,1,0,1,0,-Inf,-3.76276028667884,0.502795032266864
4_chr17,1,0,0,1,1,1,1,2.13713710441581,Inf,12.748173896951
4_chr17,2,0,0,1,0,1,0,-0.631228804699673,2.13713710441581,4.27303447231382
4_chr17,5,0,0,1,0,1,0,-1.55598157304463,-0.631228804699673,2.67722121742206
4_chr17,6,0,0,1,0,1,0,-1.5683221088176,-1.55598157304463,2.46623903088071
4_chr17,8,0,0,1,0,1,0,-2.2375269693958,-1.5683221088176,2.04944992577139
4_chr17,10,0,0,1,0,1,0,-2.26439887013432,-2.2375269693958,1.83600571510954
4_chr17,11,0,0,1,0,1,0,-2.36776317854172,-2.26439887013432,1.73211324647041
4_chr17,13,0,0,1,0,1,0,-2.39735323906446,-2.36776317854172,1.54473312645773
4_chr17,14,0,0,1,0,1,0,-2.43764119138756,-2.39735323906446,1.45377474639766
4_chr17,15,0,0,1,0,1,0,-2.64589456401799,-2.43764119138756,1.36640805649729
4_chr17,17,0,0,1,0,1,0,-2.8305902123876,-2.64589456401799,1.22452432988237
4_chr17,18,0,0,1,0,1,0,-2.84372627096479,-2.8305902123876,1.16554629605362
4_chr17,19,0,0,1,0,1,0,-3.40095164891282,-2.84372627096479,1.10733793483219
4_chr17,20,0,0,1,0,1,0,-Inf,-3.40095164891282,1.07399640940072
5_chr1,1,1,0,0,0,1,0,-2.91253299284,Inf,0.994060803370786
5_chr1,2,1,1,0,0,1,1,-3.27681429342552,-2.91253299284,0.939722885523193
5_chr1,3,1,1,0,0,1,1,-3.65700984576898,-3.27681429342552,0.901974564988558
5_chr1,4,1,1,0,0,1,1,-3.85788647844562,-3.65700984576898,0.876164992928164
5_chr1,5,1,1,0,0,1,1,-3.96918289087257,-3.85788647844562,0.855052418645758
5_chr1,7,1,1,0,0,1,1,-3.99659120723499,-3.96918289087257,0.817274696461887
5_chr1,8,1,1,0,0,1,1,-4.07658821241307,-3.99659120723499,0.798896516822152
5_chr1,10,1,1,0,0,1,1,-4.17284570871188,-4.07658821241307,0.764966019121967
5_chr1,12,1,1,0,0,1,1,-4.24939287608246,-4.17284570871188,0.734149319121967
5_chr1,14,1,1,0,0,1,1,-4.38280556422338,-4.24939287608246,0.705603525729973
5_chr1,15,1,1,0,0,1,1,-4.47688058095199,-4.38280556422338,0.693113258558256
5_chr1,17,1,1,0,0,1,1,-4.54536796017721,-4.47688058095199,0.670375614521516
5_chr1,18,1,1,0,0,1,1,-4.63467074716815,-4.54536796017721,0.659759348887029
5_chr1,20,1,1,0,0,1,1,-Inf,-4.63467074716815,0.640340742231543
5_chr2,1,1,0,0,0,1,0,-2.221291897871,Inf,0.771804924951618
5_chr2,3,1,1,0,0,1,1,-3.5226460642734,-2.221291897871,0.554867149864047
5_chr2,5,1,1,0,0,1,1,-3.88944104769421,-3.5226460642734,0.495824716481691
5_chr2,6,1,1,0,0,1,1,-4.30700823683272,-3.88944104769421,0.475367939276002
5_chr2,8,1,1,0,0,1,1,-4.56526622853954,-4.30700823683272,0.44842033973079
5_chr2,10,1,1,0,0,1,1,-4.64815607114153,-4.56526622853954,0.427606123393386
5_chr2,12,1,1,0,0,1,1,-4.82448755842552,-4.64815607114153,0.408447625174691
5_chr2,14,1,1,0,0,1,1,-4.82627621175096,-4.82448755842552,0.392386289045991
5_chr2,15,1,1,0,0,1,1,-4.83673632597364,-4.82627621175096,0.384369972224254
5_chr2,17,1,1,0,0,1,1,-4.85231862303676,-4.83673632597364,0.368504167712976
5_chr2,18,1,1,0,0,1,1,-4.91442755483652,-4.85231862303676,0.360693920193802
5_chr2,19,1,1,0,0,1,1,-4.96634161855467,-4.91442755483652,0.353354001802997
5_chr2,20,1,1,0,0,1,1,-Inf,-4.96634161855467,0.346385406564902
5_chr3,1,1,0,0,0,1,0,-2.71746490585292,Inf,0.494694155273438
5_chr3,3,1,1,0,0,1,1,-4.10985578893094,-2.71746490585292,0.362610225296443
5_chr3,5,1,1,0,0,1,1,-4.30185907737885,-4.10985578893094,0.329789943537201
5_chr3,7,1,1,0,0,1,1,-4.58927858779137,-4.30185907737885,0.302703228648863
5_chr3,10,1,1,0,0,1,1,-4.654006717081,-4.58927858779137,0.272222672413035
5_chr3,12,1,1,0,0,1,1,-5.0910850691417,-4.654006717081,0.253175936524436
5_chr3,14,1,1,0,0,1,1,-5.14917954179896,-5.0910850691417,0.240873253257128
5_chr3,16,1,1,0,0,1,1,-5.15375760260148,-5.14917954179896,0.229264923560159
5_chr3,18,1,1,0,0,1,1,-5.26219696722536,-5.15375760260148,0.217709616040376
5_chr3,20,1,1,0,0,1,1,-Inf,-5.26219696722536,0.207341809373709
5_chr4,1,1,0,0,0,1,0,-4.47967333769665,Inf,0.321649280590717
5_chr4,3,1,0,0,0,1,0,-4.67850599013194,-4.47967333769665,0.29897504867419
5_chr4,5,1,1,0,0,1,1,-5.02321317214439,-4.67850599013194,0.28038927430175
5_chr4,7,1,1,0,0,1,1,-5.02544416099526,-5.02321317214439,0.267222595730321
5_chr4,8,1,1,0,0,1,1,-5.03321489781309,-5.02544416099526,0.260653927429668
5_chr4,10,1,1,0,0,1,1,-5.0861781371583,-5.03321489781309,0.247618281994221
5_chr4,11,1,1,0,0,1,1,-5.16911628516582,-5.0861781371583,0.241436681968341
5_chr4,13,1,1,0,0,1,1,-5.18852180208457,-5.16911628516582,0.230057492813636
5_chr4,14,1,1,0,0,1,1,-5.22569033368543,-5.18852180208457,0.224477243379247
5_chr4,15,1,1,0,0,1,1,-5.24733926468557,-5.22569033368543,0.219100596381317
5_chr4,18,1,1,0,0,1,1,-5.26655951595046,-5.24733926468557,0.203316098636956
5_chr4,19,1,1,0,0,1,1,-5.53442345828685,-5.26655951595046,0.19815476107657
5_chr4,20,1,1,0,0,1,1,-Inf,-5.53442345828685,0.194206276630708
5_chr11,1,0,0,1,1,1,1,0.965293274906943,Inf,3.10657447487437
5_chr11,2,0,0,1,0,1,0,-2.82214656083541,0.965293274906943,0.481016921153846
5_chr11,3,0,0,1,0,1,0,-3.3964627086159,-2.82214656083541,0.42153878900144
5_chr11,4,0,0,1,0,1,0,-4.04268093333392,-3.3964627086159,0.388047259024064
5_chr11,5,0,0,1,0,1,0,-4.53150315737422,-4.04268093333392,0.370496901075241
5_chr11,7,0,0,1,0,1,0,-4.69151212792793,-4.53150315737422,0.348967934688686
5_chr11,8,0,0,1,0,1,0,-4.71138476996216,-4.69151212792793,0.339795129479615
5_chr11,9,0,0,1,0,1,0,-4.71392479280477,-4.71138476996216,0.330802812812948
5_chr11,11,0,0,1,0,1,0,-4.80291636613658,-4.71392479280477,0.312863802892313
5_chr11,15,0,0,1,0,1,0,-4.83627330698845,-4.80291636613658,0.280040678663499
5_chr11,16,0,0,1,0,1,0,-4.87824697877817,-4.83627330698845,0.272104102473023
5_chr11,17,0,0,1,0,1,0,-5.03425083585749,-4.87824697877817,0.26449375903868
5_chr11,18,0,0,1,0,1,0,-5.06221133521981,-5.03425083585749,0.257982684885326
5_chr11,20,0,0,1,0,1,0,-Inf,-5.06221133521981,0.24531959917104
5_chr17,1,0,0,1,1,1,1,0.435198843880133,Inf,2.38540102526596
5_chr17,2,0,0,1,0,1,0,-2.10827593256266,0.435198843880133,0.840130729320229
5_chr17,4,0,0,1,0,1,0,-3.00916691105273,-2.10827593256266,0.597236391017316
5_chr17,6,0,0,1,0,1,0,-3.59826530506729,-3.00916691105273,0.498570870571096
5_chr17,8,0,0,1,0,1,0,-3.85844975907605,-3.59826530506729,0.443828546761572
